Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CUBO:Zone Mean Air Temperature [C](TimeStep) 
 05/15  06:23:00,23.7,23.696282104633383 
 05/15  06:24:00,23.8,23.689079814754844 
 05/15  06:25:00,23.9,23.68212651782806 
 05/15  06:26:00,24.0,23.675441290849303 
 05/15  06:27:00,24.0,23.66901201472484 
 05/15  06:28:00,24.1,23.662857589405423 
 05/15  06:29:00,24.2,23.656985144361276 
 05/15  06:30:00,24.3,23.65139707104795 
 05/15  06:31:00,24.4,23.646095170517697 
 05/15  06:32:00,24.5,23.641109926907102 
 05/15  06:33:00,24.6,23.63641350929618 
 05/15  06:34:00,24.7,23.632026760132717 
 05/15  06:35:00,24.8,23.62795275279895 
 05/15  06:36:00,24.9,23.624188454762912 
 05/15  06:37:00,24.9,23.620731691186382 
 05/15  06:38:00,25.0,23.617582138169777 
 05/15  06:39:00,25.1,23.61476811630524 
 05/15  06:40:00,25.2,23.612262891323436 
 05/15  06:41:00,25.3,23.610074790618803 
 05/15  06:42:00,25.4,23.6082044239645 
 05/15  06:43:00,25.5,23.60664760339705 
 05/15  06:44:00,25.6,23.605400455919213 
 05/15  06:45:00,25.7,23.604460700714476 
 05/15  06:46:00,25.8,23.60382713413157 
 05/15  06:47:00,25.8,23.603499006500527 
 05/15  06:48:00,25.9,23.60347573313222 
 05/15  06:49:00,26.0,23.603806166575023 
 05/15  06:50:00,26.1,23.60447597131611 
 05/15  06:51:00,26.2,23.60546385290389 
 05/15  06:52:00,26.3,23.606759200272055 
 05/15  06:53:00,26.4,23.608359286610156 
 05/15  06:54:00,26.5,23.61026414719078 
 05/15  06:55:00,26.6,23.612474020818446 
 05/15  06:56:00,26.7,23.614988777966165 
 05/15  06:57:00,26.8,23.617808078762472 
 05/15  06:58:00,26.9,23.62093160046722 
 05/15  06:59:00,26.9,23.62435916119641 
 05/15  07:00:00,27.0,23.628090755192606 
 05/15  07:01:00,27.1,23.632126530809767 
 05/15  07:02:00,27.2,23.636466702617746 
 05/15  07:03:00,27.3,23.641111402049646 
 05/15  07:04:00,27.4,23.646060528750173 
 05/15  07:05:00,27.5,23.65131367406728 
 05/15  07:06:00,27.6,23.65687014119657 
 05/15  07:07:00,27.7,23.662729037087686 
 05/15  07:08:00,27.8,23.668941636862755 
 05/15  07:09:00,27.8,23.675439228988456 
 05/15  07:10:00,27.9,23.68227003201863 
 05/15  07:11:00,28.0,23.689428074137847 
 05/15  07:12:00,28.1,23.69689954857667 
 05/15  07:13:00,28.2,23.70467694078159 
 05/15  07:14:00,28.3,23.712757888242106 
 05/15  07:15:00,28.4,23.72114190414451 
 05/15  07:16:00,28.5,23.729828626619184 
 05/15  07:17:00,28.6,23.73881739864405 
 05/15  07:18:00,28.7,23.748107383682505 
 05/15  07:19:00,28.7,23.75769775710781 
 05/15  07:20:00,28.8,23.767587830475872 
 05/15  07:21:00,28.9,23.777777091034455 
 05/15  07:22:00,29.0,23.788265145071314 
 05/15  07:23:00,29.1,23.799051580503686 
 05/15  07:24:00,29.2,23.810135823062964 
 05/15  07:25:00,29.3,23.821517063341386 
 05/15  07:26:00,29.4,23.833229503820384 
 05/15  07:27:00,29.5,23.84529884253534 
 05/15  07:28:00,29.5,23.857707609432367 
 05/15  07:29:00,29.6,23.870453944590047 
 05/15  07:30:00,29.7,23.88353427167755 
 05/15  07:31:00,29.8,23.89695503776434 
 05/15  07:32:00,29.9,23.910705245819106 
 05/15  07:33:00,30.0,23.924787033187542 
 05/15  07:34:00,30.1,23.939188521066367 
 05/15  07:35:00,30.2,23.95391263803664 
 05/15  07:36:00,30.3,23.968959350478652 
 05/15  07:37:00,30.3,23.984325542700738 
 05/15  07:38:00,30.4,24.00001742227841 
 05/15  07:39:00,30.5,24.016025122943656 
 05/15  07:40:00,30.6,24.032350945535804 
 05/15  07:41:00,30.7,24.048984470463004 
 05/15  07:42:00,30.8,24.065928859119655 
 05/15  07:43:00,30.9,24.083184768021027 
 05/15  07:44:00,31.0,24.100749578547905 
 05/15  07:45:00,31.1,24.118619433309277 
 05/15  07:46:00,31.1,24.136800703020644 
 05/15  07:47:00,31.2,24.155284186878912 
 05/15  07:48:00,31.3,24.174072542269528 
 05/15  07:49:00,31.4,24.19316608471707 
 05/15  07:50:00,31.5,24.212562178179304 
 05/15  07:51:00,31.6,24.232257088218482 
 05/15  07:52:00,31.7,24.252247119588944 
 05/15  07:53:00,31.7,24.27252895680538 
 05/15  07:54:00,31.8,24.293109693457243 
 05/15  07:55:00,31.9,24.313980666845897 
 05/15  07:56:00,32.0,24.335144707010798 
 05/15  07:57:00,32.1,24.356602028534 
 05/15  07:58:00,32.2,24.378349686681656 
 05/15  07:59:00,32.3,24.40038358812639 
 05/15  08:00:00,32.3,24.422699761870952 
 05/15  08:01:00,32.4,24.44529477135903 
 05/15  08:02:00,32.5,24.46817570880743 
 05/15  08:03:00,32.5,24.491333899670103 
 05/15  08:04:00,32.6,24.51477218907325 
 05/15  08:05:00,32.7,24.53848072149265 
 05/15  08:06:00,32.7,24.56246273158604 
 05/15  08:07:00,32.8,24.58671881490964 
 05/15  08:08:00,32.8,24.611245940963283 
 05/15  08:09:00,32.9,24.636039508130715 
 05/15  08:10:00,33.0,24.661104641800947 
 05/15  08:11:00,33.0,24.686430227945344 
 05/15  08:12:00,33.1,24.71201653984393 
 05/15  08:13:00,33.2,24.73785101253451 
 05/15  08:14:00,33.2,24.76393422574244 
 05/15  08:15:00,33.3,24.790264205470812 
 05/15  08:16:00,33.3,24.81683562559749 
 05/15  08:17:00,33.4,24.843641997874176 
 05/15  08:18:00,33.5,24.870677044985232 
 05/15  08:19:00,33.5,24.897935052799387 
 05/15  08:20:00,33.6,24.925410772760728 
 05/15  08:21:00,33.7,24.95310928073752 
 05/15  08:22:00,33.7,24.981019346696854 
 05/15  08:23:00,33.8,25.009141480209575 
 05/15  08:24:00,33.8,25.037463518384442 
 05/15  08:25:00,33.9,25.06598694752843 
 05/15  08:26:00,34.0,25.094710870803162 
 05/15  08:27:00,34.0,25.12363114694758 
 05/15  08:28:00,34.1,25.15274252092947 
